2026-03-07 15:38:18,324 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:38:18,324 | INFO | party_ticket correct
2026-03-07 15:38:18,324 | INFO | ticket 1 correct
2026-03-07 15:38:18,325 | INFO | path_correct
2026-03-07 15:38:18,325 | INFO | ticket 1 correct
2026-03-07 15:38:18,325 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,693 | INFO | user Один assert in bd
2026-03-07 15:39:44,694 | INFO | branch Асгард assert
2026-03-07 15:39:44,694 | INFO | user Тор assert in bd
2026-03-07 15:39:44,694 | INFO | user Фрейя assert in bd
2026-03-07 15:39:44,694 | INFO | Event FAUCET correct
2026-03-07 15:39:44,694 | INFO | Ticket FAUCET create
2026-03-07 15:39:44,694 | INFO | party_ticket correct
2026-03-07 15:39:44,694 | INFO | Event NO_ELECTRICITY correct
2026-03-07 15:39:44,695 | INFO | Ticket NO_ELECTRICITY create
2026-03-07 15:39:44,695 | INFO | party_ticket correct
2026-03-07 15:39:44,695 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:44,695 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:44,695 | INFO | party_ticket correct
2026-03-07 15:39:44,774 | INFO | user Один assert in bd
2026-03-07 15:39:44,774 | INFO | branch Асгард assert
2026-03-07 15:39:44,775 | INFO | user Локи assert in bd
2026-03-07 15:39:44,817 | INFO | user Один assert in bd
2026-03-07 15:39:44,817 | INFO | branch Асгард assert
2026-03-07 15:39:44,818 | INFO | user Тор assert in bd
2026-03-07 15:39:44,818 | INFO | user Локи assert in bd
2026-03-07 15:39:44,818 | INFO | user Фрейя assert in bd
2026-03-07 15:39:44,818 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:44,818 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:44,818 | INFO | party_ticket correct
2026-03-07 15:39:44,818 | INFO | ticket 1 correct
2026-03-07 15:39:44,818 | INFO | path_correct
2026-03-07 15:39:44,818 | INFO | ticket 1 correct
2026-03-07 15:39:44,818 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,818 | INFO | ticket 1 correct
2026-03-07 15:39:44,818 | INFO | path_correct
2026-03-07 15:39:44,818 | INFO | ticket 1 correct
2026-03-07 15:39:44,818 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | path_correct
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | path_correct
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | path_correct
2026-03-07 15:39:44,820 | INFO | ticket 1 correct
2026-03-07 15:39:44,820 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,821 | INFO | ticket 1 correct
2026-03-07 15:39:44,821 | INFO | path_correct
2026-03-07 15:39:44,821 | INFO | ticket 1 correct
2026-03-07 15:39:44,821 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment', 'date_close'])
2026-03-07 15:39:44,861 | INFO | user Один assert in bd
2026-03-07 15:39:44,861 | INFO | branch Асгард assert
2026-03-07 15:39:44,862 | INFO | user Тор assert in bd
2026-03-07 15:39:44,862 | INFO | user Локи assert in bd
2026-03-07 15:39:44,862 | INFO | user Фрейя assert in bd
2026-03-07 15:39:44,862 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:44,862 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:44,862 | INFO | party_ticket correct
2026-03-07 15:39:44,862 | INFO | ticket 1 correct
2026-03-07 15:39:44,862 | INFO | path_correct
2026-03-07 15:39:44,862 | INFO | ticket 1 correct
2026-03-07 15:39:44,862 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,862 | INFO | ticket 1 correct
2026-03-07 15:39:44,862 | INFO | path_correct
2026-03-07 15:39:44,862 | INFO | ticket 1 correct
2026-03-07 15:39:44,862 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:39:44,863 | INFO | ticket 1 correct
2026-03-07 15:39:44,863 | INFO | path_correct
2026-03-07 15:39:44,863 | INFO | ticket 1 correct
2026-03-07 15:39:44,863 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,863 | INFO | ticket 1 correct
2026-03-07 15:39:44,863 | INFO | path_correct
2026-03-07 15:39:44,863 | INFO | ticket 1 correct
2026-03-07 15:39:44,863 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,863 | INFO | ticket 1 correct
2026-03-07 15:39:44,863 | INFO | path_correct
